공연 ID,공연 요약
PF261917,"∙ 봄날의 따스함을 느낄 수 있는 뮤지컬이에요.\n∙ 이시영, 박슬하, 천해별 등 능력 있는 배우들의 열연이 돋보여요.\n∙ 가족 모두가 함께 즐길 수 있는 전체 관람가 공연이에요.\n∙ 각기 다른 캐릭터들이 선사하는 다채로운 감정의 향연을 경험할 수 있어요.\n∙ 무대 위의 화려한 연출과 생동감 넘치는 연기가 관객들의 마음을 사로잡아요."
PF263504,"∙ 봄의 따스함을 느낄 수 있는 기간 동안 공연이 펼쳐지네요.\n∙ 연극의 매력을 느낄 수 있는 백승환, 이대상, 공다향 등의 열연이 돋보여요.\n∙ 만 11세 이상 관람가로, 가족 단위 관객들에게 적합한 내용이에요.\n∙ 깊이 있는 연기와 감동적인 무대가 관객의 마음을 사로잡을 거예요.\n∙ 오랫동안 기억에 남을, 아름다운 공연이 될 것 같아요."
PF264091,∙ 한 날의 마법 같은 음악 여정을 선사할 공연이에요.  \n∙ 대중음악의 풍성한 멜로디와 감성이 어우러져요.  \n∙ 가족이나 친구와 함께 감상하기 좋은 시간이 될 거예요.  \n∙ 만 8세 이상이라 모든 연령이 함께 즐길 수 있어요.  \n∙ 음악을 통해 일상에 새로운 즐거움을 더해줄 거예요.
PF262970,∙ 가슴을 울리는 연극의 세계로 초대할게요.\n∙ 탁정아와 노윤경 등 뛰어난 배우들이 진솔한 연기를 선보여요.\n∙ 만 13세 이상이라 가족 단위 관람도 가능하답니다.\n∙ 감성적인 무대와 극의 깊이가 관객의 마음을 사로잡아요.\n∙ 이야기의 힘을 느낄 수 있는 시간이 될 거예요.
PF263297,"∙ 하루 동안의 특별한 대중음악 콘서트가 여러분을 기다리고 있어요.\n∙ 소현성, 도익환, 한상훈 등 뛰어난 아티스트들이 멋진 무대를 선보일 거예요.\n∙ 각기 다른 개성과 스타일이 조화를 이루며 깊은 감동을 전달해 줄 거예요.\n∙ 만 13세 이상이라면 누구나 가족, 친구와 함께 즐길 수 있어요.\n∙ 음악을 통해 일상의 피로를 잊고 새로운 영감을 얻을 수 있을 거예요."
PF258897,"∙ 한 겨울 밤, 클래식 음악의 매혹적인 선율이 풍성하게 펼쳐져요.\n∙ 백건우 등 뛰어난 연주자들이 선사하는 무대, 마음을 울리는 피아노 협주곡이 돋보여요.\n∙ 코렐리의 '라 폴리아', 모차르트의 피아노 협주곡 등 클래식 명곡들을 새롭게 경험할 수 있어요.\n∙ 각 곡마다 다채로운 감정을 느낄 수 있는데, 특히 'Romanian Folk Dances'가 인상적이에요.\n∙ 겨울의 추위를 잊게 만드는 따뜻하고 감성적인 클래식의 밤을 선물받는 기분이에요."
PF260135,∙ 뮤지컬의 매혹적인 세계로 여러분을 초대할 거예요.\n∙ 하루 동안만 열리는 특별한 공연이니 기회를 놓치지 마세요.\n∙ 모든 연령이 함께 즐길 수 있는 전체 관람가 작품이에요.\n∙ 감동과 웃음이 가득한 무대로 기억될 거예요.
PF262327,"∙ 대중음악의 마법 같은 향연을 느낄 수 있는 시간이에요.\n∙ 이영현이 선사하는 목소리가 관객의 마음을 울릴 거예요.\n∙ 남녀노소 누구나 함께 즐길 수 있는 공연이니, 가족 단위 관람도 추천해요.\n∙ 공연장에서는 일상의 스트레스를 잠시 잊고 음악에 흠뻑 빠질 수 있어요.\n∙ 짧지만 깊은 감동을 선사할 멋진 주말을 기대해도 좋아요."
PF262329,"∙ 감성적인 연극으로 따뜻한 봄날을 더욱 특별하게 만들어줄 거에요.  \n∙ 클로이 라이스와 나타샤 롤랜드 등 뛰어난 배우들의 열연을 볼 수 있어요.  \n∙ 만 16세 이상 관람가로, 성숙한 관객에게 깊은 여운을 선사할 거에요.  \n∙ 감정을 자극하는 섬세한 연기와 대화가 돋보이는 공연이에요.  \n∙ 마음을 울리는 이야기와 함께하는 시간이 될 거에요.  "
PF261043,"∙ 한 여름밤의 꿈같은 뮤지컬로 여러분을 초대할게요.\n∙ 아름다운 선율과 환상적인 무대가 여러분의 마음을 사로잡을 거예요.\n∙ 어린이부터 어른까지 모두가 함께 즐길 수 있는 공연이랍니다.\n∙ 이 특별한 날, 가족과 함께 아름다운 추억을 만들어 보세요."
PF258877,"∙ 클래식 음악의 아름다움을 맞이할 하루를 선사하는 기회예요.\n∙ 송현민 해설가의 재치 있는 해설로 클래식의 깊이를 더욱 느낄 수 있어요.\n∙ 베를리오즈의 '환상 교향곡' 등 명작들을 통해 클래식 음악의 다채로운 매력을 경험하게 될 거예요.\n∙ 다양한 연주자들의 열정적인 무대가 감동을 선사할 거예요.\n∙ 음악가들의 세계를 가까이에서 느껴보는 시간, 잊지 못할 추억이 될 거예요."
PF260730,"∙ 클래식 음악의 깊이를 느낄 수 있는 하루가 될 거예요.\n∙ 베토벤의 '비창' 소나타와 멘델스존의 피아노 소나타 등, 감성적인 명곡들이 펼쳐져요.\n∙ 두 대의 피아노로 연주되는 '동물의 사육제' 등, 다채로운 듀엣 공연이 매력적이에요.\n∙ 최윤지, 이선아, 박서아 등 실력파 연주자들이 무대를 빛내 줄 거예요.\n∙ 감미로운 선율 속에서 여유와 평화를 찾는 시간이 될 거예요."
PF258898,"∙ 클래식 음악의 깊이를 느낄 수 있는 하루가 될 거예요.\n∙ 재닌 얀센과 데니스 코츠킨이 연주하는 바이올린 소나타가 마음을 울려요.\n∙ 슈만과 브람스의 작품 등, 감성적인 선율이 가득한 곡들로 구성되어 있어요.\n∙ 가족 단위 관람객도 편안하게 즐길 수 있는 공연이에요.\n∙ 클래식 음악의 매력에 빠져볼 수 있는 특별한 기회가 될 거예요."
PF261511,∙ 여름밤의 뮤지컬로 가슴 뛰는 감성의 시간을 선사할 거예요.\n∙ 어린이부터 어른까지 모든 연령이 함께 즐길 수 있는 공연이에요.\n∙ 무대 위의 화려한 연출과 감동적인 음악이 조화를 이루어요.\n∙ 잊을 수 없는 경험을 만들어줄 아름다운 이야기들이 펼쳐질 거예요.\n∙ 이 공연을 통해 일상에서 벗어나 특별한 추억을 만들어 보세요.
PF257016,"∙ 차가운 겨울, 무용으로 마음을 녹일 수 있는 공연이에요.\n∙ 아름다운 몸짓과 함께 전달되는 감성이 깊은 울림을 줘요.\n∙ 어린이부터 어른까지 모두 즐길 수 있는 관람 등급이에요.\n∙ 두 날만의 특별한 무대, 놓치지 마세요.\n∙ 가족, 친구들과 함께 따뜻한 추억을 만들기에 좋은 시간이 될 거예요."
PF253947,"∙ 국악의 아름다움을 선보이는 하루만의 특별한 공연이에요.\n∙ 최동호, 이금희, 김다솔 등이 출연해 깊은 감동을 전달해요.\n∙ 모든 연령이 함께 즐길 수 있는 가족 친화적인 공연이에요.\n∙ 전통과 현대가 어우러진 무대로 관객의 마음을 사로잡아요.\n∙ 한 번의 관람으로도 잊을 수 없는 추억을 만들어줘요."
PF263108,∙ 뮤지컬의 매력에 빠질 수 있는 시간이에요.\n∙ 전 세대가 함께 즐길 수 있는 전체 관람가 공연이라 누구나 부담 없이 관람 가능해요.\n∙ 한여름의 밤에 펼쳐지는 감성적인 무대가 기다리고 있어요.\n∙ 가족 또는 친구와 함께 보기 좋은 공연으로 추억을 만들기에 좋아요.
PF262197,"∙ 하루만의 특별한 무대, 대중음악의 매력을 느낄 수 있어요.\n∙ 신소희씨의 뛰어난 가창력이 돋보이는 공연이에요.\n∙ 모든 연령이 함께 관람할 수 있는 가족 친화적인 공연이랍니다.\n∙ 감성을 자극하는 멜로디와 함께 잊지 못할 추억을 만들어 줄 거예요.\n∙ 한 번뿐인 기회로, 놓치지 말고 꼭 관람해 보세요."
PF257994,"∙ 오랜 경력의 베테랑 배우 박근형과 예수정, 이상윤 등이 무대를 빛내요.\n∙ 연극으로만 느낄 수 있는 깊이 있는 감정과 긴장감을 선사해요.\n∙ 만 13세 이상이라 가족 단위 관람객도 부담 없이 즐길 수 있어요.\n∙ 짧지만 강렬한 이틀간의 공연으로, 기억에 남는 경험을 약속드려요.\n∙ 감성적이면서도 생각을 자극하는 연극이 될 거예요."
PF262177,"∙ 한여름 밤을 수놓을 감성적인 대중음악 공연이에요.\n∙ 허각, 신용재, 임한별 등 대한민국을 대표하는 보컬리스트들이 출연해요.\n∙ 가족이나 친구와 함께 관람하기 좋은 나이 제한이 있어요.\n∙ 잊을 수 없는 하루만의 특별한 경험을 선사할 거예요.\n∙ 감성을 자극하는 목소리와 하모니가 여러분을 기다리고 있어요."
PF261525,"∙ 도시의 밤을 아름답게 수놓을 대중음악 공연이에요.\n∙ 한여름 밤의 감성을 자극하는 멜로디가 특별한 추억을 만들어 줘요.\n∙ 눈부신 아티스트들이 무대 위의 감정을 전달해 줄 거예요.\n∙ 만 15세 이상이라 누구나 부담 없이 즐길 수 있어요.\n∙ 짧지만 강렬한 3일간의 공연, 놓치지 마세요!"
PF263303,"∙ 한날 한시에 펼쳐지는 대중음악의 향연이에요.\n∙ 다채로운 장르의 곡들, 'Giant Steps', 'Up Town Funk' 등이 재해석되어 귀를 즐겁게 해줘요.\n∙ 이병주, 송시온, 박승준 등 뛰어난 아티스트들이 무대를 빛내 줄 거예요.\n∙ 모든 연령이 함께 즐길 수 있는 매력적인 공연이에요.\n∙ 음악으로 하루를 특별하게 만들어보세요."
PF260991,"∙ 장르를 넘나드는 대중음악 공연이 한자리에서 펼쳐져요.\n∙ 김용진, 유성은, 채훈선 등 감성적인 목소리의 아티스트들이 모여요.\n∙ 남녀노소 누구나 즐길 수 있는 만 7세 이상 관람 등급이에요.\n∙ 하루 동안만 진행되는 특별한 무대라 더욱 소중하게 느껴져요.\n∙ 음악으로 하루를 채우며 감성을 충전할 수 있는 시간이 될 거예요."
PF262241,"∙ 만 16세 이상 관객을 위한 깊이 있는 연극이에요.\n∙ 권수현, 김도하, 문수민 등 뛰어난 배우들이 출연해요.\n∙ 각자의 삶과 연결되는 여러 감정선을 섬세하게 표현해줘요.\n∙ 4월의 봄날, 예술의 향기를 느낄 수 있는 시간이 될 거예요.\n∙ 관객들에게 생각할 거리를 제공하며 깊은 인상을 남길 것이에요."
PF262178,∙ 여름밤을 수놓는 아름다운 무용 공연이에요.\n∙ 감각적인 움직임과 현대적인 안무가 돋보여요.\n∙ 모든 연령이 함께 즐길 수 있는 공연으로 만 7세 이상 관람가에요.\n∙ 무용수들의 열정과 에너지가 느껴지는 무대예요.\n∙ 무용을 통해 전해지는 감정과 이야기에 빠져보세요.
PF259366,"∙ 뮤지컬의 매력을 가득 담은 무대가 여러분을 기다리고 있어요.\n∙ 2025년 봄, 특별한 추억을 만들기에 완벽한 시간이 될 거예요.\n∙ 다양한 연령대가 함께 즐길 수 있는 공연으로 준비되었어요.\n∙ 감성적인 노래와 춤이 어우러져 마음을 움직이는 경험을 선사할 거예요.\n∙ 잊지 못할 감동의 순간을 경험하고 싶다면, 이 공연을 놓치지 마세요."
PF263026,"∙ 한 여름밤의 시적인 무용 공연이에요.\n∙ 강경호, 강서연, 김명윤 등이 출연해 환상적인 무대를 선보일 거예요.\n∙ 모든 세대가 함께 즐길 수 있는 만 5세 이상 관람가로 준비되었어요.\n∙ 신체의 움직임만으로 전하는 깊은 감정과 이야기가 있어요.\n∙ 각 출연자의 열정과 기술이 돋보이는 순간들로 가득할 거예요."
PF257072,"∙ 여름밤의 감성을 채워줄 무용 공연이에요.\n∙ 창의적인 안무와 현대적인 스타일이 돋보여요.\n∙ 모든 연령이 함께 즐길 수 있어요, 만 7세 이상이면 관람 가능하거든요.\n∙ 잠시 일상을 잊고 예술적 영감을 받을 수 있는 시간이 될 거예요.\n∙ 3일 동안만 열리니 놓치지 마세요!"
PF262073,"∙ 감성적인 뮤지컬로 가슴 깊이 울리는 메시지를 전달해요.\n∙ 임준혁, 안유진, 김준영 등 뛰어난 배우들의 열연이 기대되는데요.\n∙ 만 13세 이상 관람가로 가족 단위 관객에게도 적합해요.\n∙ 두 날에 걸쳐 진행되어 선택의 폭이 넓어요.\n∙ 공연을 통해 새로운 감동과 인상적인 경험을 선사할 거예요."
PF260987,"∙ 여러분의 감성을 울릴 클래식 공연이 한 날만의 특별한 기회로 찾아와요.\n∙ 김선아, 김제니, 정민호 등의 뛰어난 연주자들이 아름다운 하모니를 선사해요.\n∙ 만 7세 이상이라 어린이부터 어른까지 함께 즐길 수 있어요.\n∙ 서양음악의 클래식 장르가 주는 깊이와 정서를 느낄 수 있어요.\n∙ 하루 동안만 열리는 이 공연, 놓치지 않으셨으면 해요."
PF258724,"∙ 봄날을 화려하게 수놓을 뮤지컬이에요.  \n∙ 만 7세 이상이라 가족 모두가 함께 즐길 수 있어요.  \n∙ 감성적인 무대와 음악이 관객의 마음을 사로잡아요.  \n∙ 열정적인 배우들의 생생한 연기가 돋보여요.  \n∙ 장기간 공연되니, 시간을 두고 천천히 관람할 기회가 있어요.  "
PF251325,"∙ 현대 무용의 아름다움을 선보이는 공연이에요.\n∙ 강애심, 장은정, 최지연 등 눈부신 출연진이 마음을 움직여요.\n∙ 모든 연령대가 함께 즐길 수 있는 창의적인 무대예요.\n∙ 감성적인 움직임과 표현력으로 깊은 인상을 남겨요.\n∙ 이틀 동안만 만나볼 수 있는 소중한 경험이 될 거예요."
PF262378,"∙ 한 여름밤의 특별한 음악 여정에 초대해요.\n∙ 감성 가득한 대중음악으로 마음을 울리는 페이 웹스터의 무대예요.\n∙ 13세 이상 관람가로 청소년부터 어른까지 누구나 즐길 수 있어요.\n∙ 짧지만 강렬한 하루 동안의 공연으로 잊지 못할 추억을 선사할 거예요.\n∙ 음악으로 하나되는 시간, 함께 해보실래요?"
PF263784,"∙ 한 날의 마법같은 시간, 전자음악의 진수를 느낄 수 있는 공연이에요.\n∙ 신윤철, 강대희 등 최고의 아티스트들이 함께해 더욱 특별해요.\n∙ 모든 연령이 함께 즐길 수 있는 매력적인 무대로 꾸며져요.\n∙ 서울전자음악단의 독창적인 사운드가 귀를 사로잡을 거예요.\n∙ 오직 음악에 집중할 수 있는 순수한 100분을 선사할 거예요."
PF261020,∙ 하루 동안의 특별한 대중음악 공연이에요.\n∙ 정동하의 매력적인 목소리가 가득할 거예요.\n∙ 만 7세 이상이라 가족 단위 관람객에게도 적합해요.\n∙ 감성적인 무대로 관객의 마음을 사로잡을 예정이에요.\n∙ 음악과 함께하는 아름다운 하루를 선사할 거예요.
PF264121,"∙ 한 여름날, 클래식 음악의 매혹적인 세계로 여러분을 초대할 거예요.\n∙ 조현진, 최하람, 최훈락 등 최고의 연주자들이 아름다운 선율을 선사할 거예요.\n∙ 만 7세 이상이라 어린이부터 어른까지 함께 즐길 수 있는 공연이에요.\n∙ 서양음악의 깊이를 느낄 수 있는 특별한 하루가 될 거예요.\n∙ 감성을 자극하는 클래식 공연으로 여러분의 마음을 울릴 거예요."
PF251333,"∙ 하루 동안만 펼쳐지는 클래식 음악의 향연이에요.\n∙ 홍성택, 노윤화 등이 연주하는 서정적인 멜로디에 귀 기울여 보세요.\n∙ 모든 연령이 함께 즐길 수 있는, 만 6세 이상 관람가 공연이에요.\n∙ 클래식 음악의 깊이 있는 해석을 경험할 수 있어요.\n∙ 잠시나마 일상을 잊고 음악 속에 흠뻑 빠져볼 시간이에요."
PF263420,"∙ 모래와 빛을 사용해 삶의 의미를 재조명하는 감성적인 서커스/마술 공연이에요.\n∙ 섬세한 샌드아트를 통해 각자의 존재 가치를 되새기게 해줘요.\n∙ 감동적인 순간들이 모래 속에 살아 움직이며 관객의 마음을 울려요.\n∙ 모든 연령이 공감할 수 있는 따뜻한 메시지를 전달해요.\n∙ 가족과 함께 관람하기에 적합한 공연으로, 소중한 추억을 만들 수 있어요."
PF262128,∙ 클래식 음악의 깊이를 느낄 수 있는 하루가 될 거예요.\n∙ 유세형 지휘자가 선사하는 감미로운 선율을 들을 수 있어요.\n∙ 만 7세 이상이라 가족 단위의 관람객들에게도 적합한 공연이에요.\n∙ 한 번의 공연으로 마음까지 울리는 감동을 경험하실 수 있어요.\n∙ 서양 클래식 음악의 진수를 만끽하는 시간이 될 거예요.
PF260126,∙ 봄날의 따뜻한 감성을 느낄 수 있는 대중음악 공연이에요.\n∙ 만 7세 이상이라서 가족 단위 관람객에게도 적합해요.\n∙ 이틀 동안만 펼쳐지는 특별한 무대로 기대를 모으고 있어요.\n∙ 공연장에서 느껴지는 생생한 음악의 향연을 경험할 수 있어요.\n∙ 음악을 통해 일상의 소중함을 다시 한번 느껴보세요.
PF261963,"∙ 누구나 즐길 수 있는 뮤지컬이에요.\n∙ 감성적인 무대와 풍부한 음악이 조화를 이루고 있어요.\n∙ 다채로운 출연진이 무대를 더욱 빛내주고 있어요.\n∙ 봄날의 따스한 기운을 느낄 수 있는 시기에 열리니, 기분 전환하기에도 좋겠죠?"
PF262751,"∙ 여러 세대가 함께 공감하고 즐길 수 있는 연극이에요.\n∙ 조성경, 박해린, 최승민 등 뛰어난 배우들이 열연을 펼쳐요.\n∙ 가족 단위 관람객에게 적합한 36개월 이상 관람 등급이에요.\n∙ 감성적인 연기와 깊이 있는 대화가 돋보이는 무대예요.\n∙ 10일간의 짧은 기간 동안만 만날 수 있어 더욱 특별해요."
PF261950,"∙ 무용으로 표현하는 아름다운 몸짓이 마음을 울려요.\n∙ 강서연, 박정은, 박혜민 등 최고의 무용수들이 무대를 장식해요.\n∙ 하루 동안만 펼쳐지는 특별한 공연이에요.\n∙ 만 7세 이상이라 가족 모두가 함께 감상하기 좋아요.\n∙ 감성적인 무대가 기대되는 하루가 될 거예요."
PF258370,"∙ 마법처럼 눈을 뗄 수 없는 서커스와 마술의 향연이 펼쳐져요.\n∙ 최현우, 전범석, 채인애 등 최고의 마술사들이 환상적인 무대를 선보여요.\n∙ 만 6세 이상이라 어린이부터 어른까지 모두 즐길 수 있어요.\n∙ 서커스의 아찔한 공연과 마술의 신비로움이 만나 감탄을 자아내요.\n∙ 주말에 가족과 함께 즐기기 좋은 공연이에요."
PF262183,"∙ 가족과 함께 즐길 수 있는 뮤지컬이에요.\n∙ 윤태호, 조진호, 서연정 등 대한민국 대표 배우들이 출연해요.\n∙ 만 7세 이상이라 어린이부터 어른까지 모두 관람 가능해요.\n∙ 두근두근 설레는 무대, 마음을 움직이는 연기를 기대하세요.\n∙ 이틀간의 짧은 기간 동안만 만날 수 있어서 더 특별하답니다!"
PF170941,"∙ 잔잔한 연극이지만 감동은 크게 다가와요.\n∙ 윤혁진, 임창섭, 김단우 등 실력파 배우들이 열연을 펼쳐요.\n∙ 만 11세 이상이라 가족 단위 관람객에게도 적합해요.\n∙ 오랜 기간 공연되어 검증된 작품의 품격을 느낄 수 있어요.\n∙ 다채로운 감정을 경험할 수 있는 시간이 될 거예요."
